x,y,th,z1,phi1,z2,phi2,z3,phi3,z4,phi4,z5,phi5,z6,phi6,z7,phi7,z8,phi8,z9,phi9,z10,phi10,z11,phi11
84,85,3.141592654,NaN,NaN,NaN,NaN,NaN,NaN,25,-0.643501109,47.4341649,-0.321750554,49,0,56.61271942,0.304992347,16.40121947,0.655695626,15,0.927295218,88.23264702,1.259798046,65,1.570796327
83,85,3.141592654,NaN,NaN,NaN,NaN,NaN,NaN,25,-0.643501109,47.4341649,-0.321750554,48,0,55.6596802,0.310387407,16.40121947,0.655695626,12.80624847,0.896055385,24.35159132,1.236059489,65,1.570796327
82,85,3.141592654,NaN,NaN,NaN,NaN,NaN,NaN,25,-0.643501109,47.4341649,-0.321750554,47,0,54.70831747,0.315970272,16.40121947,0.655695626,12.20655562,0.960070362,21.1896201,1.234121507,65,1.570796327
81,85,3.141592654,NaN,NaN,NaN,NaN,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,46,0,53.45091206,0.304000939,16.40121947,0.655695626,12.20655562,0.960070362,18.02775638,1.231503712,65,1.570796327
80,85,3.141592654,NaN,NaN,NaN,NaN,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,45,0,52.49761899,0.309702945,16.40121947,0.655695626,12.20655562,0.960070362,14.86606875,1.227772386,65,1.570796327
79,85,3.141592654,NaN,NaN,NaN,NaN,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,44,0,51.54609588,0.315615662,16.40121947,0.655695626,12.20655562,0.960070362,11.70469991,1.222025323,65,1.570796327
78,85,3.141592654,NaN,NaN,NaN,NaN,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,43,0,50.28916384,0.302884868,16.40121947,0.655695626,12.20655562,0.960070362,10.44030651,1.279339532,65,1.570796327
77,85,3.141592654,NaN,NaN,NaN,NaN,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,42,0,49.33558553,0.308930744,16.40121947,0.655695626,12.20655562,0.960070362,10.44030651,1.279339532,65,1.570796327
76,85,3.141592654,NaN,NaN,NaN,NaN,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,41,0,48.38388161,0.3152147,16.40121947,0.655695626,12.20655562,0.960070362,10.44030651,1.279339532,65,1.570796327
75,85,3.141592654,NaN,NaN,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,40,0,47.12748667,0.301619046,16.40121947,0.655695626,12.20655562,0.960070362,10.44030651,1.279339532,10,1.570796327
74,85,3.141592654,NaN,NaN,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,39,0,46.17358552,0.308052781,16.40121947,0.655695626,12.20655562,0.960070362,10.44030651,1.279339532,10,1.570796327
73,85,3.141592654,NaN,NaN,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,38,0,45.22167622,0.314757661,16.40121947,0.655695626,12.20655562,0.960070362,10.44030651,1.279339532,10,1.570796327
72,85,3.141592654,NaN,NaN,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,37,0,44.27188724,0.321750554,87.4185335,0.622909054,12.20655562,0.960070362,10.44030651,1.279339532,10,1.570796327
71,85,3.141592654,NaN,NaN,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,36,0,43.01162634,0.307045732,86.60831369,0.629645183,12.20655562,0.960070362,10.44030651,1.279339532,10,1.570796327
70,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,35,0,42.05948169,0.314231899,43.01162634,0.620249486,12.20655562,0.960070362,10.44030651,1.279339532,10,1.570796327
69,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,34,0,41.10960958,0.321750554,42.20189569,0.63402272,12.20655562,0.960070362,10.44030651,1.279339532,10,1.570796327
68,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,33,0,39.84971769,0.305878871,42.20189569,0.63402272,12.20655562,0.960070362,10.44030651,1.279339532,10,1.570796327
67,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,32,0,38.89730068,0.313620652,42.20189569,0.63402272,12.20655562,0.960070362,10.44030651,1.279339532,10,1.570796327
66,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,31,0,37.94733192,0.321750554,42.20189569,0.63402272,55.21775077,0.952652101,10.44030651,1.279339532,10,1.570796327
65,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,30,0,36.68787266,0.304510883,42.20189569,0.63402272,55.21775077,0.952652101,10.44030651,1.279339532,10,1.570796327
64,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,29,0,35.73513677,0.312901228,41.61730409,0.614662952,55.21775077,0.952652101,10.44030651,1.279339532,10,1.570796327
63,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,28,0,34.78505426,0.321750554,40.80441153,0.628796286,55.21775077,0.952652101,10.44030651,1.279339532,10,1.570796327
62,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,27,0,33.52610923,0.302884868,39.40812099,0.62319933,55.21775077,0.952652101,88.23264702,1.259798046,10,1.570796327
61,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,26,0,32.57299495,0.312042122,38.01315562,0.617191392,55.21775077,0.952652101,88.23264702,1.259798046,10,1.570796327
60,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,25,0,31.6227766,0.321750554,37.20215048,0.632748835,55.21775077,0.952652101,88.23264702,1.259798046,10,1.570796327
59,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,24,0,30.3644529,0.300920234,35.80502758,0.626742901,55.21775077,0.952652101,86.33075929,1.25270876,84,1.570796327
